Ano,Trimestre,VA,Imposto,PIB Anual,PIB Trimestral,Aumento Percentual do PIB (%)
1996,1996.I,"97,3","93,7",854.764,189.323,"-0,6"
,1996.II,"100,1","100,0",,204.611,"0,4"
,1996.III,"107,5","108,1",,221.513,"2,2"
,1996.IV,"103,0","113,0",,239.316,"2,2"
1997,1997.I,"97,9","98,4",952.089,219.117,"3,4"
,1997.II,"102,0","107,1",,232.890,"4,1"
,1997.III,"106,3","112,5",,246.178,"3,3"
,1997.IV,"105,4","108,9",,253.904,"3,4"
1998,1998.I,"96,0","93,6",1.002.351,235.701,"1,0"
,1998.II,"101,0","98,9",,251.936,"1,3"
,1998.III,"104,1","102,7",,258.043,"0,9"
,1998.IV,"101,4","97,8",,256.671,"0,3"
1999,1999.I,"96,9","90,2",1.087.710,250.668,"0,8"
,1999.II,"100,5","96,5",,268.709,"0,2"
,1999.III,"103,4","99,9",,274.126,"-0,1"
,1999.IV,"103,0","100,8",,294.208,"0,5"
2000,2000.I,"99,4","102,7",1.199.092,276.927,"4,4"
,2000.II,"103,0","107,0",,292.789,"4,2"
,2000.III,"106,7","110,1",,308.896,"4,3"
,2000.IV,"106,6","109,7",,320.481,"4,4"
2001,2001.I,"98,4","102,5",1.315.755,312.470,"3,5"
,2001.II,"101,5","100,9",,323.724,"2,9"
,2001.III,"103,5","100,7",,332.524,"2,1"
,2001.IV,"102,5","98,3",,347.038,"1,4"
2002,2002.I,"98,6","95,5",1.488.787,342.297,"0,5"
,2002.II,"102,8","100,1",,367.363,"1,4"
,2002.III,"106,6","102,5",,379.795,"2,3"
,2002.IV,"106,4","102,1",,399.333,"3,1"
2003,2003.I,"97,5","99,3",1.717.950,397.242,"2,7"
,2003.II,"100,3","99,2",,418.987,"1,7"
,2003.III,"103,9","101,2",,439.350,"1,3"
,2003.IV,"103,3","102,9",,462.372,"1,1"
2004,2004.I,"100,2","101,4",1.957.751,444.783,"3,9"
,2004.II,"105,2","105,3",,481.795,"5,1"
,2004.III,"109,0","109,2",,505.252,"5,6"
,2004.IV,"108,2","109,6",,525.920,"5,8"
2005,2005.I,"98,9","99,1",2.170.585,499.710,"4,2"
,2005.II,"103,9","104,4",,535.557,"4,3"
,2005.III,"105,1","106,4",,552.859,"3,6"
,2005.IV,"104,3","107,2",,582.458,"3,2"
2006,2006.I,"99,6","101,8",2.409.450,554.270,"4,3"
,2006.II,"102,7","105,0",,581.977,"3,3"
,2006.III,"106,3","108,3",,617.848,"3,7"
,2006.IV,"106,2","106,9",,655.355,"4,0"
2007,2007.I,"101,0","102,0",2.720.263,631.423,"5,2"
,2007.II,"105,3","106,9",,670.655,"5,9"
,2007.III,"108,4","109,3",,691.846,"5,9"
,2007.IV,"108,5","112,3",,726.339,"6,1"
2008,2008.I,"101,0","102,6",3.109.803,712.055,"6,2"
